"Nombre";"alcohol (etanol) (g)";"energía, total (kJ (kcal))";"grasa, total (lipidos totales) (g)";"proteina, total (g)";"agua (humedad) (g)";"fibra, dietetica total (g)";"carbohidratos (g)";"ácido graso 22:6 n-3 (ácido docosahexaenóico) (-)";"ácidos grasos, monoinsaturados totales (g)";"ácidos grasos, poliinsaturados totales (g)";"ácidos grasos saturados totales (g)";"ácido graso 12:0 (láurico) (-)";"ácido graso 14:0 (ácido mirístico) (g)";"ácido graso 16:0 (ácido palmítico) (g)";"ácido graso 18:0 (ácido esteárico) (g)";"ácido graso 18:1 n-9 cis (ácido oléico) (g)";"colesterol (mg)";"ácido graso 18:2 (g)";"ácido graso 18:3 (g)";"ácido graso 20:4 n-6  (ácido araquidónico) (-)";"ácido graso 20:5 (ácido eicosapentaenóico) (-)";"Vitamina A equivalentes de retinol de actividades de retinos y carotenoides (ug)";"Vitamina D (ug)";"Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E (mg)";"folato, total (ug)";"equivalentes de niacina, totales (mg)";"riboflavina (mg)";"tiamina (mg)";"Vitamina B-12 (ug)";"Vitamina B-6, Total (mg)";"Vitamina C (ácido ascórbico) (mg)";"calcio (mg)";"hierro, total (mg)";"potasio (mg)";"magnesio (mg)";"sodio (mg)";"fósforo (mg)";"ioduro (ug)";"selenio, total (ug)";"zinc (cinc) (mg)"
"Aceite de algodón";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"17.8";"51.9";"25.9";"-";"1";"25";"3.3";"18";"0";"49.5";"0.35";"-";"-";"0";"0";"38.26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de cacahuete";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"47.8";"28.5";"18.8";"-";"0.04";"11.82";"3.38";"39.97";"0";"37.75";"0.1";"-";"-";"traza";"0";"17.2";"traza";"traza";"traza";"traza";"0";"traza";"0";"0";"traza";"0";"0";"0";"0";"0";"traza";"0"
"Aceite de coco";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"4.96";"0.77";"84.31";"47.64";"18.29";"8.49";"3.2";"4.96";"0";"0.7";"0";"-";"-";"0";"0";"0.28";"0";"0";"0";"0";"0";"0";"0";"0";"0.4";"0";"0";"0";"0";"0";"0";"0"
"Aceite de colza";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"65.3";"28.01";"6.29";"-";"0.04";"4.01";"1.62";"60.62";"0";"19.24";"10";"-";"-";"0";"0";"20.95";"traza";"0";"0";"traza";"0";"traza";"0";"0";"0";"0";"0";"0";"0";"-";"0";"0"
"Aceite de germen de trigo";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"15.1";"61.7";"18.8";"-";"-";"-";"-";"-";"0";"-";"-";"-";"-";"0";"0";"215.4";"traza";"traza";"traza";"traza";"0";"traza";"0";"0";"0";"traza";"traza";"traza";"traza";"0";"traza";"traza"
"Aceite de girasol";"0";"3696 (887)
							";"99.9";"traza";"traza";"0";"0";"-";"25.38";"63.5";"10.62";"-";"0.09";"6.34";"3.31";"28.06";"0";"57.53";"1.6";"-";"0.04";"0";"traza";"56";"0";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza";"0";"0";"0";"0";"0";"0";"traza"
"Aceite de grano de uva";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"15.6";"67.7";"12.2";"-";"0.04";"6.58";"3.84";"19.11";"traza";"69.65";"0.23";"-";"-";"traza";"0";"32";"traza";"0";"0";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"-";"0"
"Aceite de hígado de bacalao";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"44.6";"30.5";"21.1";"-";"-";"-";"-";"-";"650";"-";"-";"-";"-";"20000";"210";"20";"traza";"0";"0";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza";"traza"
"Aceite de lino";"0";"3700 (888)
							";"100";"0";"0";"0";"0";"-";"20.2";"66";"9.4";"-";"0";"5.16";"4.08";"19.5";"0";"15.69";"55.47";"-";"-";"0";"0";"17.5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de nuez";"0";"3692 (886)
							";"99.7908";"traza";"traza";"0";"0";"-";"17.1";"69";"9.3";"-";"0";"7.19";"2.63";"15.71";"traza";"61.84";"-";"-";"-";"traza";"0";"10.8";"traza";"traza";"traza";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"0"
"Aceite de oliva";"0";"3696 (887)
							";"99.9";"0";"0.1";"0";"0";"-";"71";"11.93";"17.06";"-";"0.01";"14";"2.75";"69.16";"0";"11.28";"0.69";"-";"-";"3";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Aceite de oliva virgen extra";"0";"3700 (888)
							";"100";"traza";"traza";"0";"0";"0";"78.2";"7.5";"14.21";"0";"0.01";"10.4";"2.2";"78.2";"0";"6.8";"0.7";"0";"0";"34";"0";"18.34";"traza";"traza";"traza";"traza";"0";"0";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza"
"Aceite de oliva virgen extra, producción ecologica";"0";"3700 (888)
							";"100";"traza";"traza";"0";"0";"-";"-";"-";"-";"-";"-";"10.56";"3.04";"81.61";"0";"3.68";"0.41";"-";"-";"34";"0";"19.76";"traza";"traza";"traza";"traza";"0";"traza";"0";"traza";"traza";"traza";"traza";"traza";"traza";"0";"0";"traza"
